GeneID	Control_1	Control_2	Erb1KO_1	Erb1KO_2
FAM25B	0	0	0	0
FAM25C	0	0	0	0
FAM25G	0	0	0	0
FAM26D	4	4	1	4
FAM26E	1	1	4	0
FAM26F	202	199	188	201
FAM27A	0	0	0	0
FAM27B	0	0	0	0
FAM27C	0	0	0	0
FAM27L	0	0	0	0
FAM32A	4480	4493	4528	3192
FAM35A	1232	1145	1395	947
FAM35B	0	1	0	0
FAM35B2	0	0	3	1
FAM36A	827	764	1317	1048
FAM38A	14302	12460	13127	7969
FAM38B	0	0	0	1
FAM3A	2351	2054	1579	1350
FAM3B	9	12	7	1
FAM3C	282	240	423	390
FAM3D	0	0	1	0
FAM40A	1877	1659	2005	1375
FAM40B	83	86	190	87
FAM41AY1	0	0	0	0
FAM41AY2	0	0	0	0
FAM41C	0	0	0	0
FAM43A	158	113	113	84
FAM43B	0	0	0	0
FAM45A	0	0	0	0
FAM45B	764	717	1051	613
FAM46A	3432	3134	5100	3621
FAM46B	290	268	272	182
FAM46C	1909	1702	2046	1226
FAM46D	0	0	0	0
FAM47A	0	0	0	0
FAM47B	0	0	0	0
FAM47C	0	0	0	0
FAM47E	35	39	46	30
FAM47E-STBD1	0	0	0	0
FAM48A	1539	1574	2079	1322
FAM48B1	0	0	0	0
FAM48B2	0	0	0	0
FAM49A	4	3	2	7
FAM49B	3356	2857	4279	3043
FAM50A	4230	4314	4163	2943
FAM50B	638	566	509	408
FAM53A	51	35	30	40
FAM53B	1556	1401	1251	825
FAM53C	3607	3038	4105	2822
FAM54A	92	75	208	113
FAM54B	2717	2475	2484	1759
FAM55A	0	0	0	0
FAM55B	0	0	0	0
FAM55C	2615	2262	3722	2414
FAM55D	0	0	0	0
FAM57A	1725	1583	1745	1381
FAM57B	58	53	67	37
FAM58A	843	890	699	627
FAM58BP	0	1	0	0
FAM59A	697	636	820	571
FAM59B	1	0	1	1
FAM5B	1274	1208	1264	685
FAM5C	64	57	78	36
FAM60A	911	799	1163	772
FAM63A	1718	1597	1787	1184
FAM63B	256	217	372	226
FAM64A	407	304	512	338
FAM65A	1680	1686	1808	1343
FAM65B	19	20	12	8
FAM65C	128	184	140	56
FAM66A	0	0	1	0
FAM66B	11	7	12	8
FAM66C	96	88	84	81
FAM66D	33	32	58	32
FAM66E	0	1	0	0
FAM69A	410	390	536	323
FAM69B	0	0	1	0
FAM69C	6	1	7	3
FAM70A	0	3	2	3
FAM70B	5	5	2	3
FAM71A	0	0	1	0
FAM71B	0	0	0	0
FAM71C	0	0	0	0
FAM71D	1	0	0	0
FAM71E1	0	0	0	0
FAM71E2	0	0	0	0
FAM71F1	0	1	0	0
FAM71F2	2	2	0	1
FAM72A	58	48	166	107
FAM72B	45	46	137	70
FAM72D	24	15	57	43
FAM73A	872	682	1155	778
FAM73B	836	777	963	683
FAM74A1	0	0	0	0
FAM74A2	0	0	0	0
FAM74A3	0	0	0	0
FAM74A4	0	0	0	0
FAM75A1	0	0	0	0
FAM75A2	0	0	0	0
FAM75A3	0	0	0	0
FAM75A4	0	0	0	0
FAM75A5	0	0	0	0
FAM75A6	0	0	0	0
FAM75A7	0	0	0	0
FAM75C1	0	0	0	0
FAM75C2	0	0	0	0
FAM75D1	0	0	0	0
FAM75D3	0	0	0	0
FAM75D4	0	0	0	0
FAM75D5	0	0	0	0
FAM76A	267	201	273	206
FAM76B	268	204	326	263
FAM78A	64	61	41	23
FAM78B	35	20	19	16
FAM7A1	0	0	0	0
FAM7A2	0	0	0	0
FAM7A3	3	0	1	1
FAM81A	19	19	36	23
FAM81B	0	1	1	0
FAM82A1	131	153	164	100
FAM82A2	3372	3124	3407	2461
FAM82B	2328	2019	2455	1804
FAM83A	49	33	65	24
FAM83B	2096	1586	2445	1388
FAM83C	1	0	0	0
FAM83D	786	705	984	713
FAM83E	3	2	1	0
FAM83F	149	118	94	91
FAM83G	1046	802	760	585
FAM83H	8603	7353	6391	5063
FAM84A	1205	957	1036	942
FAM84B	27186	22893	25426	17959
FAM86A	576	552	468	399
FAM86B1	75	63	43	44
FAM86B2	14	7	1	5
FAM86C1	494	520	487	339
FAM86C2P	158	116	125	90
FAM86DP	501	510	373	271
FAM86EP	230	193	164	113
FAM86FP	113	135	88	64
FAM86HP	187	182	156	80
FAM89A	150	180	179	144
FAM89B	1263	1260	1006	755
FAM8A1	2743	2367	4561	3470
FAM90A1	0	1	1	0
FAM90A10	0	0	0	0
FAM90A13	0	0	0	0
FAM90A14	0	0	0	0
FAM90A18	0	0	0	0
FAM90A19	0	0	0	0
FAM90A20	0	0	0	0
FAM90A25P	0	1	0	0
FAM90A5	0	0	0	0
FAM90A7	0	0	0	0
FAM90A8	0	0	0	0
FAM90A9	0	0	0	0
FAM91A1	3369	2712	4237	3505
FAM92A1	427	387	492	395
FAM92A3	9	8	8	1
FAM92B	1	0	0	0
FAM95B1	0	0	0	0
FAM96A	1609	1490	2010	1512
FAM96B	1960	1902	1711	1393
FAM98A	3359	3097	4189	2952
FAM98B	1133	976	1293	848
FAM98C	994	896	759	686
FAM99A	0	0	0	0
FAM99B	0	0	0	0
FAM9A	0	0	0	0
FAM9B	0	0	0	0
FAM9C	0	0	0	0
FAN1	1184	1008	1660	1179
FANCA	1390	1148	2151	1274
FANCB	67	51	148	102
FANCC	751	566	1190	815
FANCD2	1440	1086	2585	1372
FANCE	515	446	448	299
FANCF	746	612	677	634
FANCG	1627	1407	1708	1055
FANCI	2111	1611	3486	1854
FANCL	761	688	1094	674
FANCM	296	235	502	283
FANK1	53	67	67	37
FAP	0	1	0	1
FAR1	3131	2613	4670	3571
FAR2	1556	1446	1857	1162
FARP1	1832	1659	2148	1307
FARP2	633	537	734	360
FARS2	501	539	533	389
FARSA	6258	5629	4871	3836
FARSB	4398	3880	5183	3672
FAS	870	910	1314	779
FAS-AS1	0	1	0	0
FASLG	0	0	0	0
FASN	20649	16796	20398	12095
FASTK	3438	3131	2681	2220
FASTKD1	836	694	937	559
FASTKD2	1487	1434	1903	1297
FASTKD3	401	332	459	287
FASTKD5	1084	994	1262	807
FAT1	6683	6552	8037	4028
FAT2	2	0	1	3
FAT3	0	0	0	0
FAT4	290	304	424	183
FATE1	0	0	0	0
FAU	12483	11562	7069	6887
FBF1	255	213	330	256
FBL	6536	5729	5554	4330
FBLIM1	86	78	58	45
FBLL1	1	0	1	0
FBLN1	0	0	0	0
FBLN2	2	0	2	3
FBLN5	5	2	4	8
FBLN7	1	2	2	1
FBN1	38	54	78	42
FBN2	2	3	4	2
FBN3	0	4	1	0
FBP1	12222	12278	9288	6375
FBP2	0	1	0	0
FBRS	5319	4471	4868	3735
FBRSL1	1511	1353	1218	967
FBXL12	532	491	544	406
FBXL13	10	6	3	6
FBXL14	456	413	377	311
FBXL15	749	623	454	400
FBXL16	1596	1464	1269	1058
FBXL17	1352	1059	1631	1405
FBXL18	1295	1181	1216	762
FBXL19	1759	1531	1298	897
FBXL19-AS1	405	362	390	261
FBXL2	217	219	185	156
FBXL20	496	427	505	370
FBXL21	0	1	0	0
FBXL22	54	39	36	42
FBXL3	992	804	1205	1050
FBXL4	1283	985	940	676
FBXL5	1564	1445	1898	1365
FBXL6	1009	966	630	498
FBXL7	62	39	70	48
FBXL8	190	107	144	100
FBXO10	681	620	800	551
FBXO11	3567	2964	4713	3062
FBXO15	17	24	41	20
FBXO16	432	381	532	364
FBXO17	1054	871	824	658
FBXO18	6228	5380	5877	3990
FBXO2	8	4	3	4
FBXO21	4236	3613	4761	3202
FBXO22	1812	1742	2091	1482
FBXO22OS	0	0	1	1
FBXO24	11	11	7	3
FBXO25	1582	1413	1555	1158
FBXO27	2116	1938	1801	1371
FBXO28	2245	1808	3126	2372
FBXO3	1358	1230	1579	984
FBXO30	614	529	694	543
FBXO31	3165	2747	2801	2004
FBXO32	334	328	412	333
FBXO33	971	798	1052	692
FBXO34	1496	1360	1612	1162
FBXO36	204	146	154	96
FBXO38	1832	1632	1982	1149
FBXO39	0	1	2	3
FBXO4	1012	977	1388	1093
FBXO40	0	0	0	0
FBXO41	901	751	895	599
FBXO42	1733	1447	1736	1228
FBXO43	13	10	35	25
FBXO44	402	357	328	269
FBXO45	1408	1287	2108	1585
FBXO46	554	416	439	306
FBXO47	0	0	1	0
FBXO48	38	37	70	42
FBXO5	552	430	767	484
FBXO6	1063	1009	1353	964
FBXO7	6425	5585	5784	4341
FBXO8	896	783	1059	848
FBXO9	3951	3634	3683	2445
FBXW10	0	0	1	5
FBXW11	2935	2667	3320	2174
FBXW12	0	1	1	0
FBXW2	4264	3769	4457	2944
FBXW4	2779	2373	2850	2260
FBXW4P1	281	283	306	246
FBXW5	3441	2755	2029	1748
FBXW7	963	792	997	629
FBXW8	3786	3335	3804	2585
FBXW9	1280	1100	649	608
FCAMR	0	0	1	0
FCAR	0	0	0	0
FCER1A	0	0	0	0
FCER1G	0	3	2	3
FCER2	0	0	0	0
FCF1	1465	1287	1810	1298
FCGBP	19	33	17	13
FCGR1A	0	0	0	0
FCGR1B	0	0	0	0
FCGR1C	0	0	0	0
FCGR2A	3	2	3	1
FCGR2B	1	0	5	2
FCGR2C	0	0	2	0
FCGR3A	0	0	0	0
FCGR3B	0	0	0	0
FCGRT	3	4	4	1
FCHO1	762	746	675	527
FCHO2	1049	867	1399	1048
FCHSD1	1002	870	996	523
FCHSD2	2186	1892	2378	1554
FCN1	0	0	0	0
FCN2	0	0	0	0
FCN3	0	0	0	0
FCRL1	0	0	0	0
FCRL2	0	0	0	0
FCRL3	0	0	0	0
FCRL4	0	0	0	0
FCRL5	0	0	0	0
FCRL6	0	0	0	0
FCRLA	7	8	2	4
FCRLB	139	97	144	125
FDFT1	8821	8245	13018	8438
FDPS	3009	2724	3354	2319
FDPSL2A	0	0	0	0
FDX1	401	370	431	352
FDX1L	1209	1262	1015	727
FDXACB1	109	85	98	69
FDXR	1646	1538	1123	877
FECH	2666	2227	2833	1852
FEM1A	1273	1181	1272	992
FEM1B	1688	1247	1758	1076
FEM1C	1295	1028	1393	1194
FEN1	1418	1270	2132	1424
FER	298	204	291	150
FER1L4	303	351	400	144
FER1L5	0	2	0	1
FER1L6	3	1	6	3
FER1L6-AS1	0	0	0	0
FERD3L	0	0	0	0
FERMT1	195	187	262	172
FERMT2	2521	2166	3238	2195
FERMT3	25	27	27	11
FES	3	4	3	3
FETUB	0	0	0	1
FEV	1	0	0	0
FEZ1	639	598	689	508
FEZ2	1225	1111	1352	1100
FEZF1	2	1	2	1
FEZF2	1	0	0	0
FFAR1	2	3	10	2
FFAR2	259	242	333	227
FFAR3	0	0	0	0
FGA	0	0	0	0
FGB	2	0	0	1
FGD1	451	486	480	314
FGD2	1	0	0	0
FGD3	42	25	31	22
FGD4	708	575	923	597
FGD5	32	37	9	6
FGD6	417	360	571	380
FGF1	3	2	2	1
FGF10	0	0	0	0
FGF11	62	46	41	32
FGF12	459	438	531	383
FGF13	286	242	449	462
FGF14	0	1	1	0
FGF16	0	0	0	0
FGF17	1	0	0	0
FGF18	2	2	1	3
FGF19	0	0	0	0
FGF2	15	17	38	16
FGF20	0	0	0	0
FGF21	5	2	4	6
FGF22	1	0	1	1
FGF23	0	0	0	0
FGF3	0	0	0	0
FGF4	0	0	0	0
FGF5	2	0	1	1
FGF6	0	0	0	0
FGF7	1	0	0	0
FGF8	0	0	0	2
FGF9	5	2	1	0
FGFBP1	0	0	1	0
FGFBP2	1	1	4	3
FGFBP3	268	205	223	251
FGFR1	2969	2711	2981	1935
FGFR1OP	824	725	968	714
FGFR1OP2	671	554	844	723
FGFR2	228	229	298	182
FGFR3	71	76	54	31
FGFR4	761	728	399	337
FGFRL1	593	491	694	356
FGG	2	3	0	1
FGGY	307	263	313	186
FGL1	0	0	0	0
FGL2	0	0	1	0
FGR	0	1	2	2
FH	2377	2051	2503	1759
FHAD1	3	4	7	3
FHDC1	375	283	412	263
FHIT	95	85	61	95
FHL1	4	4	6	5
FHL2	627	592	598	518
FHL3	380	353	290	211
FHL5	0	0	0	0
FHOD1	1895	1656	1626	996
FHOD3	31	30	24	18
FIBCD1	477	509	508	338
FIBIN	17	10	7	12
FIBP	2466	2317	2363	1815
FICD	737	635	514	413
FIG4	832	750	959	532
FIGF	0	0	0	2
FIGLA	0	0	0	0
FIGN	1	2	2	1
FIGNL1	428	318	716	481
FIGNL2	1	0	0	1
FILIP1	10	9	11	8
FILIP1L	48	37	79	68
FIP1L1	1300	1194	1674	1034
FIS1	4988	4809	3835	2993
FITM1	6	5	7	2
FITM2	608	457	540	331
FIZ1	617	538	450	399
FJX1	250	252	243	181
FKBP10	16096	15289	13005	9620
FKBP11	6137	5907	3989	3441
FKBP14	799	649	1069	733
FKBP15	2576	2310	2739	1787
FKBP1A	2455	2500	2775	2119
FKBP1A-SDCBP2	0	0	0	0
FKBP1AP1	12	10	8	10
FKBP1B	15	11	21	13
FKBP2	3234	3052	2139	1848
FKBP3	4935	4625	6985	4306
FKBP4	12349	11431	12569	8198
FKBP5	3272	2952	4575	2739
FKBP6	0	0	0	0
FKBP7	129	127	203	129
FKBP8	15665	13274	11309	9202
FKBP9	7868	6773	7978	4891
FKBP9L	10	15	9	8
FKBPL	530	462	471	352
FKRP	577	506	492	384
FKSG29	0	0	2	1
FKSG43	36	23	23	30
FKSG83	0	0	0	0
FKTN	1056	808	1598	1013
FLAD1	1893	1932	2014	1414
FLCN	2603	2146	2379	1941
FLG	1	0	0	0
FLG2	0	0	0	0
FLI1	0	0	0	0
FLII	10393	9252	9223	6245
FLJ10038	1404	1282	1471	1176
FLJ10661	130	111	106	77
FLJ11235	0	3	1	2
FLJ12334	1	2	8	1
FLJ12825	0	0	0	0
FLJ13197	9	6	12	17
FLJ13224	2	2	2	5
FLJ14107	1	0	2	0
FLJ14186	134	134	182	126
FLJ16341	0	0	0	0
FLJ16779	2	3	0	0
FLJ20021	900	893	619	472
FLJ20518	0	0	0	0
FLJ21408	16	10	12	13
FLJ22184	597	531	542	349
FLJ22447	16	14	10	13
FLJ22536	4	1	2	1
FLJ22763	0	0	0	0
FLJ23152	2	3	12	2
FLJ23867	22777	20869	21264	15006
FLJ25328	0	0	0	0
FLJ25363	0	0	0	0
FLJ25758	0	0	0	0
FLJ26245	0	0	0	0
FLJ26484	0	0	0	0
FLJ26850	6	11	12	4
FLJ27352	267	218	250	214
FLJ27354	0	1	1	2
FLJ30403	1	1	1	0
FLJ30679	7	7	13	7
FLJ30838	0	0	0	0
FLJ31306	987	940	1312	941
FLJ31485	0	0	0	0
FLJ31662	0	0	0	0
FLJ31813	21	21	9	19
FLJ32063	7	2	10	2
FLJ32224	50	37	18	19
FLJ33065	5	6	4	7
FLJ33360	0	0	0	0
FLJ33534	9	8	8	13
FLJ33581	1	0	0	0
FLJ33630	774	625	1109	758
FLJ34208	3	4	2	1
FLJ34503	1	2	1	0
FLJ34690	0	0	0	0
FLJ34747	0	0	0	0
FLJ35024	85	66	98	86
FLJ35282	1	0	2	0
FLJ35390	48	30	35	28
FLJ35424	0	0	0	0
FLJ35776	386	358	452	323
FLJ35946	49	34	26	35
FLJ36000	0	0	0	0
FLJ36644	0	0	0	0
FLJ36777	26	14	34	14
FLJ37035	55	36	59	43
FLJ37201	78	75	92	79
FLJ37453	412	374	295	217
FLJ37505	0	0	0	0
FLJ38109	3	3	6	8
FLJ39051	79	80	62	53
FLJ39080	9	19	11	8
FLJ39534	63	62	47	33
FLJ39582	182	190	189	164
FLJ39639	34	31	30	20
FLJ39653	70	74	83	55
FLJ39739	0	0	0	0
FLJ40194	0	0	0	0
FLJ40292	1	3	2	1
FLJ40434	0	0	0	0
FLJ40504	46	46	15	20
FLJ40852	243	218	184	158
FLJ41200	0	0	0	0
FLJ41278	2	4	2	2
FLJ41350	2	0	1	1
FLJ41484	0	0	1	0
FLJ41649	0	0	0	0
FLJ41941	0	0	0	0
FLJ42280	0	0	0	0
FLJ42289	56	36	43	35
FLJ42351	5	1	2	4
FLJ42392	0	0	0	0
FLJ42393	0	0	0	1
FLJ42418	0	0	0	0
FLJ42627	167	152	162	109
FLJ42709	44	34	51	25
FLJ42875	2	8	5	10
FLJ42969	1	0	0	1
FLJ43315	0	0	0	0
FLJ43390	0	1	0	0
FLJ43663	112	110	140	94
FLJ43681	12	9	9	4
FLJ43826	10	13	10	4
FLJ43860	0	0	0	0
FLJ43879	0	0	0	0
FLJ44054	0	0	0	1
FLJ44511	110	124	126	65
FLJ44635	6661	5935	5630	4463
FLJ45079	0	0	0	0
FLJ45244	154	149	164	102
FLJ45340	733	694	917	609
FLJ45445	37	24	22	22
FLJ45513	4	9	7	7
FLJ45974	13	9	16	11
FLJ45983	526	548	538	331
FLJ46066	0	0	0	0
FLJ46257	28	21	23	16
FLJ46300	0	2	0	1
FLJ46361	0	0	0	0
FLJ46446	0	0	0	0
FLJ46906	59	44	63	54
FLJ90757	1139	1060	873	555
FLNA	33444	30075	39810	22984
FLNB	13821	11775	17621	10770
FLNC	19	30	32	10
FLOT1	5483	4565	4191	3337
FLOT2	5858	5521	6366	4157
FLRT1	25	12	3	16
FLRT2	4	4	4	3
FLRT3	1	4	0	0
FLT1	29	27	50	22
FLT3	7	11	12	8
FLT3LG	37	48	58	48
FLT4	103	82	92	77
FLVCR1	824	686	1147	795
FLVCR2	2621	2061	2192	2026
FLYWCH1	1681	1442	1240	1001
FLYWCH2	1894	1818	1307	1150
FMN1	1282	1072	2058	1233
FMN2	1	0	0	0
FMNL1	270	184	206	180
FMNL2	1096	955	1409	899
FMNL3	210	181	322	185
FMO1	1	0	4	0
FMO2	0	0	0	0
FMO3	0	0	0	0
FMO4	338	350	302	174
FMO5	1004	903	1380	810
FMO6P	0	0	0	0
FMO9P	1	1	1	0
FMOD	85	87	85	54
FMR1	3112	2748	5003	4116
FMR1-AS1	0	0	1	1
FMR1NB	0	0	1	0
FN1	3683	3180	7632	3949
FN3K	583	490	422	376
FN3KRP	823	753	1051	641
FNBP1	3130	2649	3268	2055
FNBP1L	1810	1537	2559	1704
FNBP4	4181	3563	6187	3873
FNDC1	0	0	1	0
FNDC3A	3450	2850	5140	3287
FNDC3B	3251	2745	3921	2751
FNDC4	1	4	5	3
FNDC5	57	48	68	41
FNDC7	0	0	0	0
FNDC8	0	0	0	1
FNDC9	0	0	0	0
FNIP1	2780	2221	3369	2462
FNIP2	1014	859	1539	957
FNTA	1459	1317	1726	1248
FNTB	56	36	89	41
FOLH1	11	13	29	9
FOLH1B	1	0	4	0
FOLR1	3	8	5	3
FOLR2	0	0	0	0
FOLR3	0	0	0	0
FOLR4	0	0	1	0
FONG	29	20	16	17
FOPNL	1333	1172	1858	1419
FOS	360	351	887	584
FOSB	46	26	65	18
FOSL1	52	52	76	45
FOSL2	1519	1214	1764	1287
FOXA1	16644	14207	16627	11707
FOXA2	0	3	2	1
FOXA3	0	0	0	0
FOXB1	0	0	0	0
FOXB2	0	0	0	0
FOXC1	460	447	525	422
FOXC2	0	0	0	2
FOXD1	812	702	735	679
FOXD2	68	61	39	35
FOXD3	26	23	24	37
FOXD4	2	2	1	0
FOXD4L1	0	1	1	2
FOXD4L2	0	0	0	0
FOXD4L3	0	0	0	0
FOXD4L4	0	0	0	0
FOXD4L5	0	0	0	0
FOXD4L6	0	0	0	0
FOXE1	0	0	0	0
FOXE3	2	0	0	1
FOXF1	4	3	17	4
FOXF2	0	0	0	0
FOXG1	6	8	8	6
FOXH1	13	11	10	12
FOXI1	0	0	1	0
FOXI2	0	0	0	0
FOXI3	109	88	92	65
FOXJ1	5	0	1	0
FOXJ2	2068	1783	2259	1434
FOXJ3	3162	2768	3569	2402
FOXK1	2090	1738	1935	1403
FOXK2	4556	3840	4653	3266
FOXL1	3	10	6	7
FOXL2	0	0	0	0
FOXM1	2673	2188	4436	2810
FOXN1	7	5	9	4
FOXN2	654	492	867	692
FOXN3	1751	1403	2013	1329
FOXN4	1	0	0	0
FOXO1	854	679	826	603
FOXO3	2079	1735	2522	2059
FOXO3B	261	242	262	184
FOXO4	782	695	786	491
FOXP1	2317	1975	3169	2578
FOXP2	168	166	194	188
FOXP3	12	7	19	12
FOXP4	3250	2923	3137	2132
FOXQ1	5	5	5	2
FOXR1	0	1	1	0
FOXR2	1	0	0	0
FOXRED1	1440	1440	1309	848
FOXRED2	2883	2350	3548	2137
FOXS1	0	0	0	0
FP588	4	0	6	3
FPGS	2463	2124	2108	1532
FPGT	267	231	351	254
FPGT-TNNI3K	0	0	0	0
FPR1	1	4	4	1
FPR2	0	0	0	0
FPR3	0	2	5	0
FRA10AC1	532	414	780	583
FRAS1	45	48	59	29
FRAT1	527	440	380	277
FRAT2	1627	1283	1428	1092
FREM1	44	29	37	15
FREM2	316	264	559	270
FREM3	0	0	0	1
FRG1	359	303	444	319
FRG1B	657	483	677	412
FRG2	0	0	0	0
FRG2B	0	0	0	0
FRG2C	0	0	0	0
FRK	232	169	444	209
FRMD1	1	0	0	0
FRMD3	16	29	33	15
FRMD4A	831	833	1001	547
FRMD4B	755	693	1087	816
FRMD5	11	25	24	12
FRMD6	1692	1500	1808	1149
FRMD7	10	15	16	11
FRMD8	737	675	645	486
FRMPD1	56	55	59	51
FRMPD2	16	12	5	0
FRMPD2P1	0	0	0	0
FRMPD4	3	2	1	4
FRRS1	67	36	88	56
FRS2	2701	2465	3653	2482
FRS3	206	197	161	125
FRY	1279	1033	1685	896
FRYL	1462	1215	2123	1169
FRZB	0	0	0	2
FSCB	0	0	0	0
FSCN1	613	517	400	369
FSCN2	59	49	31	18
FSCN3	0	1	0	0
FSD1	13	12	3	0
FSD1L	222	160	180	169
FSD2	0	1	0	1
FSHB	0	0	0	0
FSHR	0	0	0	0
FSIP1	27	12	42	36
FSIP2	1	1	1	0
FST	4	4	12	8
FSTL1	22	30	46	20
FSTL3	569	509	417	268
FSTL4	47	63	168	78
FSTL5	0	2	2	1
FTCD	0	0	0	0
FTH1	77980	66884	71584	58019
FTH1P3	175	150	109	126
FTHL17	0	0	0	0
FTL	36522	31178	33302	27762
FTLP10	0	0	0	0
FTMT	0	0	0	0
FTO	5042	4526	5785	3559
FTSJ1	2250	2065	1928	1529
FTSJ2	2708	2426	2918	1958
FTSJ3	11827	10858	12904	8031
FTSJD1	1697	1391	2691	1911
FTSJD2	4470	3994	7345	4438
FTX	98	76	70	43
FUBP1	5460	4977	6768	4475
FUBP3	4610	3939	4939	3311
FUCA1	3014	2765	3196	1971
FUCA2	7612	7091	7900	5293
FUK	1509	1292	1247	933
FUNDC1	740	714	786	543
FUNDC2	1032	1015	1087	733
FUNDC2P2	55	44	64	36
FURIN	3811	3301	2951	2223
FUS	12443	11680	15714	10528
FUT1	576	486	488	331
FUT10	427	346	522	315
FUT11	312	164	148	169
FUT2	1	0	0	0
FUT3	7	17	1	4
FUT4	181	136	206	157
FUT5	4	1	2	0
FUT6	0	0	0	0
FUT7	0	0	0	0
FUT8	9941	9451	9265	5843
FUT9	634	655	1285	798
FUZ	118	120	101	74
FXC1	1193	1146	1350	887
FXN	480	384	390	373
FXR1	5991	5244	5632	3970
FXR2	3349	3234	3725	2435
FXYD1	1	1	1	2
FXYD2	0	0	0	0
FXYD3	2819	2807	2145	1682
FXYD4	0	1	0	0
FXYD5	15	22	23	12
FXYD6	12	18	33	19
FXYD6-FXYD2	0	0	0	0
FXYD7	0	0	0	0
FYB	0	0	1	0
FYCO1	3512	3089	3954	2428
FYN	76	67	125	93
FYTTD1	6928	5996	9574	6711
FZD1	361	278	357	260
FZD10	0	0	0	0
FZD2	363	302	232	199
FZD3	1099	941	1392	1088
FZD4	4574	3845	4689	3348
FZD5	406	351	419	321
FZD6	3398	2792	4449	3279
FZD7	1070	1009	930	845
FZD8	2571	2291	1240	729
FZD9	59	35	19	18
FZR1	1458	1279	1199	896
G0S2	11	8	17	4
G2E3	685	601	1183	859
G3BP1	4476	3990	5511	4392
G3BP2	7557	6503	10048	6616
G6PC	0	0	0	0
G6PC2	0	0	0	0
G6PC3	4182	4007	3634	2590
G6PD	16679	16972	18383	11144
GAA	10117	9176	8174	6009
GAB1	1516	1223	1819	1247
GAB2	913	775	1192	710
GAB3	1	1	0	0
GAB4	0	0	0	0
GABARAP	12553	11735	11849	9111
GABARAPL1	567	568	775	478
GABARAPL2	7504	6960	7973	6063
GABARAPL3	7	5	5	5
GABBR1	849	753	887	546
GABBR2	75	103	105	49
GABPA	486	411	536	531
GABPB1	1725	1453	2140	1610
GABPB2	426	320	583	426
GABRA1	229	247	231	175
GABRA2	0	0	0	1
GABRA3	2	1	1	0
GABRA4	0	0	0	0
GABRA5	0	0	0	0
GABRA6	1	0	0	1
GABRB1	2	3	1	0
GABRB2	163	166	161	102
GABRB3	3	3	3	2
GABRD	164	155	142	140
GABRE	0	0	0	0
GABRG1	0	1	1	1
GABRG2	6286	6226	5971	4059
GABRG3	2	1	0	0
GABRP	0	0	0	0
GABRQ	3	2	0	1
GABRR1	0	1	0	0
GABRR2	9	5	13	3
GABRR3	0	0	0	0
GAD1	108	88	143	114
GAD2	0	2	0	0
GADD45A	1102	871	1151	963
GADD45B	943	730	914	826
GADD45G	167	132	114	115
GADD45GIP1	2302	2128	1553	1284
GADL1	0	0	0	0
GAGE1	0	0	0	0
GAGE10	0	0	0	0
GAGE12B	0	0	0	0
GAGE12C	0	0	0	0
GAGE12D	0	0	0	0
GAGE12E	0	0	0	0
GAGE12F	0	0	0	0
GAGE12G	0	0	0	0
GAGE12H	0	0	0	0
GAGE12I	0	0	0	0
GAGE12J	0	0	0	0
GAGE13	0	0	0	0
GAGE2A	0	0	0	0
GAGE2B	0	0	0	0
GAGE2C	0	0	0	0
GAGE2D	0	0	0	0
GAGE2E	0	0	0	0
GAGE4	0	0	0	0
GAGE5	0	0	0	0
GAGE6	0	0	0	0
GAGE7	0	0	0	0
GAGE8	0	0	0	0
GAK	3151	2712	2606	1860
GAL	87	68	80	62
GAL3ST1	2	0	1	2
GAL3ST2	0	0	0	0
GAL3ST3	0	0	0	1
GAL3ST4	1	0	3	1
GALC	519	424	624	453
GALE	1061	911	811	544
GALK1	2450	2154	1367	1183
GALK2	1759	1653	1529	1083
GALM	1402	1255	1104	829
GALNS	2678	2567	2909	1863
GALNT1	4640	3933	5610	3810
GALNT10	5764	5556	7286	4662
GALNT11	2265	1978	2684	1706
GALNT12	256	233	275	204
GALNT13	11	15	20	14
GALNT14	2074	2125	1997	1238
GALNT2	3028	2721	2843	1774
GALNT3	2585	2089	3510	2467
GALNT4	7	15	12	8
GALNT5	2	5	6	3
GALNT6	12837	12265	14201	8077
GALNT7	10890	9586	12983	9013
GALNT8	0	0	0	0
GALNT9	1	3	1	0
GALNTL1	98	119	130	89
GALNTL2	2	0	0	1
GALNTL4	300	230	216	183
GALNTL5	0	0	0	0
GALNTL6	24	23	15	13
GALP	0	0	0	0
GALR1	0	0	0	0
GALR2	7	6	3	1
GALR3	5	0	1	1
GALT	953	975	883	539
GAMT	129	108	85	82
GAN	612	519	693	416
GANAB	33203	28813	36000	24637
GANC	167	138	184	123
GAP43	2	4	3	3
GAPDH	289718	208851	164485	187802
GAPDHS	0	0	0	0
GAPT	0	0	0	0
GAPVD1	4451	3963	5639	3305
GAR1	899	810	1191	1145
GARNL3	61	62	43	35
GARS	22657	19758	27708	19932
GART	4495	3995	5635	3584
GAS1	4	4	8	6
GAS2	0	0	0	0
GAS2L1	776	700	548	409
GAS2L2	1	0	4	1
GAS2L3	145	95	295	164
GAS5	21862	19822	10293	10422
GAS6	843	841	906	557
GAS7	2	1	6	0
GAS8	3423	3250	3056	2113
GAST	0	0	0	0
GATA1	0	0	0	0
GATA2	804	698	672	450
GATA3	55063	50927	48985	33860
GATA4	23	11	47	25
GATA5	0	0	0	0
GATA6	219	196	255	201
GATAD1	2843	2380	3094	2507
